"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,174,"PAN","Panama",1,"Bocas del Toro","Provincia","Province",NA,NA
2,174,"PAN","Panama",2,"Chiriquí","Provincia","Province",NA,NA
3,174,"PAN","Panama",3,"Coclé","Provincia","Province",NA,NA
4,174,"PAN","Panama",4,"Colón","Provincia","Province",NA,NA
5,174,"PAN","Panama",5,"Darién","Provincia","Province",NA,NA
6,174,"PAN","Panama",6,"Emberá","Comarca Indígena","Indigenous Territory",NA,"Emberá-Wounaan"
7,174,"PAN","Panama",7,"Herrera","Provincia","Province",NA,NA
8,174,"PAN","Panama",8,"Kuna Yala","Comarca Indígena","Indigenous Territory",NA,NA
9,174,"PAN","Panama",9,"Los Santos","Provincia","Province",NA,NA
10,174,"PAN","Panama",10,"Ngöbe Buglé","Comarca Indígena","Indigenous Territory",NA,NA
11,174,"PAN","Panama",11,"Panamá Oeste","Provincia","Province",NA,NA
12,174,"PAN","Panama",12,"Panamá","Provincia","Province",NA,"Panam "
13,174,"PAN","Panama",13,"Veraguas","Provincia","Province",NA,NA
